otel_ad,fiyat,Fiyat Aralığı,Bölge,Hava Alanına Uzaklığı,Denize Uzaklığı,Plaj,İskele,A la Carte Restoran,Asansör,Açık Restoran,Kapalı Restoran,Açık Havuz,Kapalı Havuz,Bedensel Engelli Odası,Bar,Su Kaydırağı,Balo Salonu,Kuaför,Otopark,Market,Sauna,Doktor,Beach Voley,Fitness,Canlı Eğlence,Wireless Internet,Animasyon,Sörf,Paraşüt,Araç Kiralama,Kano,SPA,Masaj,Masa Tenisi,Çocuk Havuzu,Çocuk Parkı
Green Nature Diamond,"23.400,00 TL",23000-25000,Marmaris - Siteler ,"90 km, Dalaman HA ",Denize Sıfır,Mavi Bayraklı Özel Plaj,Yok,3,1,1,1,1,1,0,8,1,0,1,0,1,1,1,0,1,1,1,1,0,0,1,0,1,1,1,1,1
Kirman Calyptus Resort Spa,"21.000,00 TL",19000-21000,Antalya - Side ,"60 km, Antalya HA ",400 - 500 Metre Arası,Özel Plaj,Var,2,1,1,1,1,1,0,6,1,1,1,0,0,1,1,0,1,0,0,1,0,0,1,0,1,1,1,1,1
Kirman Leodikya Resort,"26.250,00 TL",25000-27000,Antalya - Alanya-Okurcalar ,"90 km, Antalya HA ",Denize Sıfır,Özel Plaj,Yok,1,1,1,1,1,1,1,7,1,0,1,1,0,1,1,1,1,1,0,1,0,0,1,0,1,1,1,1,1
Kirman Sidera Luxury Spa,"24.375,00 TL",23000-25000,Antalya - Alanya-Okurcalar ,"90 km, Antalya HA ",Denize Sıfır,Mavi Bayraklı Özel Plaj,Var,5,1,1,1,2,1,1,5,1,0,1,1,0,1,1,1,1,1,0,1,0,0,1,0,1,1,1,1,1
Lujo Bodrum,"69.153,00 TL",+33000,Bodrum - Güvercinlik ,"15 km, Milas HA ",Denize Sıfır,Mavi Bayraklı Özel Plaj,Var,9,1,5,4,4,1,0,14,1,1,1,1,1,1,1,1,1,0,1,1,1,0,1,1,1,1,1,1,1
Martı La Perla,"18.432,00 TL",17000-19000,Marmaris - İçmeler ,"105 km, Dalaman HA ",Denize Sıfır,Mavi Bayraklı Özel Plaj,Yok,1,1,1,1,1,0,1,2,0,0,1,0,1,1,1,1,1,1,1,1,0,0,1,0,0,1,1,0,0
Mirage World Hotel,"15.637,05 TL",15000-17000,Marmaris - İçmeler ,"90 km, Dalaman ",50 - 100 Metre Arası,Özel Plaj,Yok,0,1,1,1,4,0,1,3,1,0,1,1,1,1,1,1,1,0,1,1,0,0,1,1,1,1,1,1,1
Mylome Luxury Hotel Resort,"24.008,40 TL",23000-25000,Antalya - Alanya-Okurcalar ,"90 km, Antalya HA ",Denize Sıfır,Özel Plaj,Var,5,1,1,1,3,1,0,7,1,0,1,1,1,1,1,1,1,1,1,1,0,0,1,0,1,1,1,1,1
Nirvana Cosmopolitan Hotel,"39.785,25 TL",+33000,Antalya - Lara-Kundu ,"No Info km, No Info",Denize Sıfır,Mavi Bayraklı Özel Plaj,Var,5,0,1,1,1,1,1,1,0,0,1,1,1,1,1,1,1,1,1,1,0,0,1,0,1,1,1,1,1
Seven Seas Hotel Life,"23.400,00 TL",23000-25000,Antalya - Kemer-Göynük ,"45 km, Antalya HA ",Denize Sıfır,Mavi Bayraklı Plaj,Var,1,1,2,1,3,0,1,5,1,0,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1
Side Star Elegance,"24.824,24 TL",23000-25000,Antalya - Side-Kumköy ,"65 km, Antalya HA ",Denize Sıfır,Mavi Bayraklı Özel Plaj,Yok,5,1,1,1,3,0,0,8,1,0,1,1,1,1,1,1,1,1,1,1,0,0,1,0,0,1,1,1,1
Sky Business Hotel,"10.500,00 TL",9000-11000,Antalya - Antalya Merkez ,"9 km, Antalya HA ",Uygun Değil,Yok,Yok,1,1,1,2,1,0,1,0,0,1,1,1,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,1,1
Sueno Hotels Deluxe Belek,"43.875,00 TL",+33000,Antalya - Belek ,"30 km, Antalya HA ",Denize Sıfır,Mavi Bayraklı Özel Plaj,Var,6,1,2,2,1,2,1,6,1,0,1,1,1,1,1,1,1,1,1,0,1,0,1,1,0,1,1,1,1
Sueno Hotels Golf Belek,"40.500,00 TL",+33000,Antalya - Belek-Taşlıburun ,"30 km, Antalya HA ",300 - 400 Metre Arası,Mavi Bayraklı Özel Plaj,Var,0,1,2,2,1,1,1,7,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,1,1,1,1,1
Sunis Hotel Su,"30.375,00 TL",29000-31000,Antalya - Konyaaltı-Konyaaltı ,"18 km, Antalya HA ",Denize Sıfır,Yok,Yok,4,1,1,1,1,1,1,1,0,1,1,1,1,1,1,0,1,1,1,0,0,0,1,0,1,1,1,1,1
Sunis Kumköy Beach Resort,"32.400,00 TL",29000-33000,Antalya - Side-Kumköy ,"60 km, Antalya HA ",Denize Sıfır,Mavi Bayraklı Özel Plaj,Yok,6,1,1,1,6,1,1,0,1,0,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1
Swandor Hotels Resort Topkapı Palace,"30.958,20 TL",29000-31000,Antalya - Lara-Kundu ,"16 km, Antalya HA ",Denize Sıfır,Mavi Bayraklı Özel Plaj,Var,3,0,1,1,1,1,1,8,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,1,1,1,1,1
Swiss Otel Resort Spa Çeşme,"60.010,94 TL",+33000,Çeşme - Ilıca ,"87 km, Adnan Menderes ",100 - 200 Metre Arası,Mavi Bayraklı Özel Plaj,Var,3,1,0,0,1,1,1,3,0,0,1,1,1,1,1,0,1,0,1,0,0,0,0,0,1,1,0,1,0
The Raga Side Hotel,"17.544,96 TL",17000-19000,Antalya - Side-Manavgat ,"55 km, Antalya HA ",50 - 100 Metre Arası,Özel Plaj,Yok,1,1,1,1,1,1,0,5,0,0,0,1,0,1,1,1,1,0,0,0,0,0,0,0,1,1,1,0,0
Throne Beach Resort Spa,"14.805,00 TL",13000-15000,Antalya - Manavgat ,"80 km, Antalya HA ",100 - 200 Metre Arası,Özel Plaj,Yok,2,1,1,1,1,1,0,3,1,0,1,1,0,1,1,1,1,0,0,1,0,0,1,0,1,1,1,1,1
Adrasan Beach Club Hotel,"6.480,00 TL",5000-7000,Antalya - Adrasan ,"120 km, Antalya HA ",100 - 200 Metre Arası,Özel Plaj,Yok,1,0,0,1,1,0,0,1,1,0,0,1,0,0,0,0,0,0,1,0,1,0,1,1,0,0,0,1,1
Ag Hotels Antalya,"11.059,66 TL",11000-13000,Antalya - Antalya Merkez-Muratpaşa ,"6 km, Antalya ",750 Metre ve Üzeri,Halk Plajı,Yok,1,1,1,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0
Alexius Beach Hotel,"9.621,18 TL",9000-11000,Antalya - Kemer-Beldibi ,"40 km, Antalya HA ",50 Metreye Kadar,Özel Plaj,Yok,0,0,1,1,1,0,0,2,0,0,0,0,0,1,0,1,1,1,1,1,0,0,0,0,1,1,1,1,1
Ambrosia Hotel,"22.500,00 TL",21000-23000,Bodrum - Bitez ,"45 km, Bodrum Milas HA ",Denize Sıfır,Mavi Bayraklı Özel Plaj,Yok,1,0,1,1,1,0,0,3,0,0,1,1,1,1,1,1,1,1,1,1,0,0,1,0,1,1,1,1,0
Aqı Hydros Club,"16.891,20 TL",15000-17000,Antalya - Kemer-Merkez ,"65 km, Antalya HA ",Denize Sıfır,Mavi Bayraklı Özel Plaj,Var,3,1,0,1,2,1,0,2,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0
Merve Sun Hotel,"10.005,87 TL",9000-11000,Antalya - Side ,"65 km, Antalya ",300 - 400 Metre Arası,Özel Plaj,Yok,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,0,1,1,1,1,0,0,1,0,1,1,1,1,1
Motto Premium Hotel Spa,"16.944,00 TL",15000-17000,Marmaris - Siteler ,"90 km, Dalaman ",50 Metreye Kadar,Özel Plaj,Yok,1,1,0,1,1,1,0,2,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,1,1,0,1,1
Nashira City Resort Hotel,"20.748,19 TL",19000-21000,Antalya - Antalya Merkez ,"18 km, Antalya HA ",750 Metre ve Üzeri,Halk Plajı,Yok,1,1,1,1,1,0,0,3,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0
Olbia Hotel,"9.475,26 TL",9000-11000,Antalya - Konyaaltı ,"20 km, Antalya HA ",Denize Sıfır (Aradan Yol Geçiyor),Halk Plajı,Yok,0,1,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0
Optimum Luxury Hotel,"19.844,88 TL",19000-21000,Antalya - Lara ,"10 km, Antalya ",500 - 600 Metre Arası,Halk Plajı,Yok,1,1,1,1,1,1,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,1,1,0,1,0
Palmea Hotel,"9.072,00 TL",9000-11000,Marmaris - Armutalan ,"95 km, Dalaman HA ",100 - 200 Metre Arası,Halk Plajı,Yok,0,1,1,1,1,0,1,3,1,0,1,1,1,1,1,0,1,0,1,0,0,0,1,0,0,1,1,1,1
Royal Atlantis Beach,"28.635,43 TL",27000-29000,Antalya - Side-Çolaklı ,"50 km, Antalya HA ",Denize Sıfır,Özel Plaj,Yok,2,1,1,1,2,1,1,4,1,0,1,0,1,1,1,1,1,1,1,1,0,0,1,0,1,1,1,1,1
Seher Kumköy Star Resort Spa,"18.720,00 TL",17000-19000,Antalya - Side-Manavgat ,"60 km, Antalya HA ",Denize Sıfır,Mavi Bayraklı Özel Plaj,Yok,2,0,1,1,1,1,0,5,1,0,1,0,0,1,1,1,1,1,1,1,0,0,1,0,1,1,1,1,0
Cooks Club Alanya +12 Adult Only,"12.681,60 TL",11000-13000,Null,Null,Null,Null,Null,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Costa Farilya Special Class Hotel Bodrum,"25.996,80 TL",25000-27000,Bodrum - Gündoğan ,"48 km, Bodrum Milas HA ",Denize Sıfır,Mavi Bayraklı Özel Plaj,Var,1,0,1,1,1,0,0,1,0,0,0,1,0,1,0,0,1,0,1,0,0,0,1,0,1,1,1,1,0
Golden Lotus Hotel,"16.672,50 TL",15000-17000,Antalya - Kemer-Merkez ,"55 km, Antalya HA ",Denize Sıfır,Özel Plaj,Var,0,0,1,1,1,1,1,3,0,0,0,1,0,1,1,0,1,0,1,0,0,0,0,0,1,1,1,1,0
Green Garden Suites,"35.700,00 TL",+33000,Antalya - Alanya-Obagöl ,"39 km, Gazipaşa HA ",200 - 300 Metre Arası,Özel Plaj,Yok,1,1,1,1,1,0,0,2,0,0,0,0,0,1,1,0,1,0,1,0,0,0,0,0,0,0,0,1,0
İdaş Hotel +16,"11.768,40 TL",11000-13000,Null,Null,Null,Null,Null,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
İncekum Su Hotel,"15.091,23 TL",15000-17000,Antalya - Alanya ,"95 km, Antalya HA ",Denize Sıfır,Özel Plaj,Yok,0,1,1,1,1,1,0,3,0,0,1,0,1,1,1,0,1,1,1,1,0,0,1,0,1,1,1,1,1
Kleopatra Ada Hotel,"8.775,00 TL",7000-9000,Antalya - Alanya ,"120 km, Antalya ",50 - 100 Metre Arası,Özel Plaj,Yok,1,1,1,1,1,0,1,2,0,0,1,0,0,1,1,1,1,1,1,1,0,0,1,0,0,1,1,1,1
Kleopatra Royal Palm Hotel,"10.125,00 TL",9000-11000,Antalya - Alanya ,"118 km, Antalya HA ",50 Metreye Kadar,Özel Plaj,Yok,1,0,1,1,2,0,1,2,1,0,1,1,0,1,1,1,1,0,1,1,0,0,0,0,1,1,1,1,1
Orfeus Queen Spa,"20.568,00 TL",19000-21000,Antalya - Side-Çolaklı ,"55 km, Antalya HA ",300 - 400 Metre Arası,Yok,Yok,0,1,1,1,1,1,0,1,0,0,1,1,0,1,0,1,1,1,1,0,0,0,1,1,1,1,1,1,1
Alkan Hotel,"6.480,00 TL",5000-7000,Marmaris - Merkez ,"96 km, Dalaman HA ",100 - 200 Metre Arası,Halk Plajı,Yok,1,1,1,1,1,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,1,0
Atrium Hotel Bodrum,"8.812,66 TL",7000-9000,Bodrum - Bodrum Merkez ,"35 km, Milas ",100 - 200 Metre Arası,Halk Plajı,Yok,1,0,1,1,1,0,0,1,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0
Begonville Beach Hotel,"12.566,40 TL",11000-13000,Marmaris - Siteler ,"90 km, Dalaman HA ",Denize Sıfır,Özel Plaj,Yok,1,0,1,1,0,0,0,1,0,0,0,0,0,1,1,0,0,0,1,0,0,0,1,1,0,0,0,0,0
Begonville Hotel,"9.655,80 TL",9000-11000,Marmaris - Siteler ,"90 km, Dalaman HA ",200 - 300 Metre Arası,Halk Plajı,Yok,0,0,1,0,1,0,0,2,0,0,0,0,0,1,1,0,0,0,1,0,0,0,1,0,0,1,1,0,0
Britannia Hotel,"4.560,00 TL",+33000,Antalya - Kemer-Merkez ,"55 km, Antalya HA ",100 - 200 Metre Arası,Özel Plaj,Yok,0,0,1,1,1,0,0,1,0,0,0,1,0,0,1,0,0,1,1,1,0,0,1,0,0,0,1,1,1
Çıralı Azur Hotel,"23.946,84 TL",23000-25000,Antalya - Çıralı ,"90 km, Antalya HA ",100 - 200 Metre Arası,Özel Plaj,Yok,1,0,1,1,1,0,0,1,0,0,0,1,0,0,1,0,0,0,1,0,0,0,1,0,0,1,1,1,1
Elista Boutique Hotel Spa,"47.277,48 TL",+33000,Bodrum - Türkbükü ,"35 km, Milas HA ",Denize Sıfır,Mavi Bayraklı Özel Plaj,Var,1,0,1,1,1,0,1,1,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,1,1,1,0,0
Ayhan Hotel Antalya,"13.611,96 TL",13000-15000,Antalya - Antalya Merkez-Muratpaşa ,"10 km, Antalya HA ",750 Metre ve Üzeri,Yok,Yok,0,1,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0
Belcan Hotel,"4.726,32 TL",+33000,Antalya - Kemer ,"45 km, Antalya ",100 - 200 Metre Arası,Özel Plaj,Yok,0,0,1,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,1,0,0,1,1,0,0,1,0,0,0
Blue Bay Beach Hotel,"6.750,00 TL",5000-7000,Bodrum - Bitez ,"45 km, Milas HA ",Denize Sıfır,Özel Plaj,Yok,1,0,1,1,1,0,0,1,0,0,0,1,0,1,0,0,0,1,1,0,1,0,1,0,1,1,0,1,0
Blue Marina Hotel Spa,"9.477,91 TL",9000-11000,Antalya - Muratpaşa ,"10 km, Antalya ",Uygun Değil,Yok,Yok,1,1,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
Sunpoint Hotel Bodrum,"8.860,80 TL",7000-9000,Bodrum - Gümbet ,"38 km, Milas HA ",200 - 300 Metre Arası,Yok,Yok,0,0,1,1,1,0,0,1,0,0,0,1,1,1,1,0,0,0,1,1,0,0,1,0,0,1,0,1,0
The Abc Hotel,"44.112,60 TL",+33000,Çeşme - Alaçatı ,"No Info km, No Info",No Info,Halk Plajı,Yok,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Zeynel Hotel,"12.150,00 TL",11000-13000,Antalya - Konyaaltı ,"21 km, Antalya ",Denize Sıfır (Aradan Yol Geçiyor),Halk Plajı,Yok,0,1,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0
Atalla Otel,"9.274,98 TL",9000-11000,Antalya - Muratpaşa ,"8 km, Antalya ",750 Metre ve Üzeri,Halk Plajı,Yok,0,1,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
Send Apart Hotel,"6.600,00 TL",5000-7000,Antalya - Konyaaltı ,"19 km, Antalya HA ",500 - 600 Metre Arası,Halk Plajı,Yok,0,0,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0
Nasa Flora Otel,"10.290,00 TL",9000-11000,Antalya - Lara ,"15 km, Antalya HA ",100 - 200 Metre Arası,Halk Plajı,Var,1,1,1,1,1,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0
Beyond Otel,"11.708,88 TL",11000-13000,Antalya - Antalya Merkez ,"20 km, Antalya ",50 - 100 Metre Arası,Yok,Yok,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
Derin Luxury Hotel,"6.000,00 TL",5000-7000,Antalya - Kemer-Merkez ,"No Info km, No Info",No Info,Özel Plaj,Yok,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
Hayal Fener,"8.402,40 TL",7000-9000,Antalya - Muratpaşa ,"8 km, Antalya ",500 - 600 Metre Arası,Yok,Yok,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Hayal Residence Apart Hotel,"10.503,00 TL",9000-11000,Antalya - Lara ,"15 km, Antalya HA ",50 - 100 Metre Arası,Halk Plajı,Yok,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
Heredot`s House,"13.411,74 TL",13000-15000,Antalya - Finike ,"115 km, Antalya ",750 Metre ve Üzeri,Yok,Yok,0,0,1,0,2,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0
House Of Marmaris,"19.421,00 TL",19000-21000,Marmaris - Siteler ,"95 km, Dalaman ",400 - 500 Metre Arası,Halk Plajı,Yok,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0
Kemer Residence,"29.417,28 TL",29000-31000,Antalya - Kemer ,"41 km, Antalya HA ",100 - 200 Metre Arası,Yok,Yok,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0
Lara Marine Homes,"15.754,50 TL",15000-17000,Antalya - Muratpaşa ,"9 km, Antalya ",No Info,Yok,Yok,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Maison 48 Apart,"11.332,74 TL",11000-13000,Bodrum - Gümbet ,"40 km, Milas HA ",300 - 400 Metre Arası,Halk Plajı,Yok,0,0,1,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0
New Safir Apart Hotel,"13.657,92 TL",13000-15000,Antalya - Lara-Kundu ,"15 km, Antalya ",400 - 500 Metre Arası,Halk Plajı,Yok,0,1,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
Adrasan Lykia Edrassa Hotel,"10.350,00 TL",9000-11000,Antalya - Adrasan ,"110 km, Antalya HA ",50 Metreye Kadar,Halk Plajı,Var,1,0,1,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,1,1,0,0,0,1,0,1
Akkan Beach Hotel,"13.375,86 TL",13000-15000,Bodrum - Bodrum Merkez ,"35 km, Milas Bodrum HA ",Denize Sıfır (Aradan Yol Geçiyor),Yok,Yok,0,0,1,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0
Akkan Luxury Hotel,"17.959,80 TL",17000-19000,Bodrum - Bodrum Merkez ,"35 km, BodrumHA",50 - 100 Metre Arası,Özel Plaj,Yok,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
Amore Boutique Hotel,"6.805,94 TL",5000-7000,Antalya - Kemer-Tekirova ,"80 km, Antalya HA ",300 - 400 Metre Arası,Halk Plajı,Yok,1,0,1,1,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
Art Suites Bodrum,"30.000,00 TL",29000-31000,Bodrum - Yalıkavak ,"55 km, Milas ",Denize Sıfır,Yok,Var,1,0,1,1,1,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,1,0
Azuu Boutique Hotel,"9.061,74 TL",9000-11000,Antalya - Lara ,"15 km, Antalya HA ",750 Metre ve Üzeri,Halk Plajı,Yok,0,0,1,1,1,0,0,1,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0
Babil Butik Hotel,"8.302,50 TL",7000-9000,Antalya - Konyaaltı ,"20 km, Antalya ",100 - 200 Metre Arası,Özel Plaj,Yok,0,0,1,1,0,0,0,0,0,0,1,1,1,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0
Bodrium Hotel And Spa,"22.950,00 TL",21000-23000,Bodrum - Bodrum Merkez ,"35 km, Milas ",750 Metre ve Üzeri,Yok,Yok,1,0,1,1,1,0,0,2,0,0,0,1,0,1,0,0,1,0,1,0,0,0,1,0,1,1,0,1,0
Mediterra Art Hotel,"17.628,81 TL",17000-19000,Antalya - Kaleiçi ,"16 km, Antalya HA ",750 Metre ve Üzeri,Halk Plajı,Yok,1,0,1,1,1,0,0,1,0,0,0,1,1,1,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0
Meis Exclusive Hotel,"36.900,00 TL",+33000,Antalya - Kaş-Çukurbağ Yarımadası ,"165 km, DalamanHA",Denize Sıfır,Özel Plaj,Var,1,1,1,1,1,0,0,1,0,0,0,1,0,0,0,0,1,0,1,0,0,1,1,0,0,0,0,0,0
Mielo Lara Hotel,"10.692,00 TL",9000-11000,Antalya - Lara ,"6 km, Antalya ",200 - 300 Metre Arası,Halk Plajı,Yok,0,1,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0
Moda Beach Boutique Hotel,"6.069,00 TL",5000-7000,Marmaris - Merkez ,"90 km, Dalaman HA ",50 - 100 Metre Arası,Özel Plaj,Yok,0,1,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
Olympos Village Reluxury Hotel,"19.200,00 TL",19000-21000,Antalya - Olimpos ,"85 km, Antalya ",750 Metre ve Üzeri,Halk Plajı,Yok,1,0,1,1,1,0,0,1,0,0,0,1,0,0,1,0,0,0,1,0,0,0,1,0,0,1,1,1,0
